"Statistic","Bournemouth","Wolves"
"Shooting Accuracy","28.6% (4/14)","16.7% (1/6)"
"Pass Completion","87.3%","79.8%"
"Duel Success","58.2%","52.1%"
"Discipline","2 Yellow","4 Yellow, 1 Red (Toti)"
"Possession %","59%","41%"
"Final Third Entries","47","23"
"Box Entries","18","8"
"Expected Goals (xG)","2.47","1.18"
"Total Shots","14","6"
"Big Chances","2","0"
"Corners","8","3"
"Tackles","12","21"
"Clearances","35","29"
"Saves","1","3"
"Offsides","2","2"
"Fouls Committed","13","16"
"PPDA","8.2","â€”"